Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Postal Code,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit
32,US-2019-162775,13/01/2019,15/01/2019,Second Class,CS-12250,Chris Selesnick,Servicing,United States,Bossier City,Louisiana,71111,South,TEC-AC-10003174,Pre Book,Accessories,646.74,6,0,258.696
33,US-2019-149524,14/01/2019,15/01/2019,First Class,BS-11590,Brendan Sweed,Servicing,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10003433,Direct Sale,Bookcases,61.96,4,0.5,-53.2856
34,US-2019-103366,15/01/2019,17/01/2019,First Class,EH-13990,Erica Hackney,Replacement,United States,Roswell,Georgia,30076,South,TEC-AC-10003628,Pre Book,Accessories,149.95,5,0,65.978
35,US-2019-115791,16/01/2019,18/01/2019,Second Class,DL-13315,Delfina Latchford,Replacement,United States,Philadelphia,Pennsylvania,19134,East,FUR-FU-10001095,Direct Sale,Furnishings,127.104,6,0.2,28.5984
36,US-2019-115791,16/01/2019,18/01/2019,Second Class,DL-13315,Delfina Latchford,Replacement,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10001575,Third Party,Binders,18.588,2,0.7,-13.6312
37,US-2019-115791,16/01/2019,18/01/2019,Second Class,DL-13315,Delfina Latchford,Replacement,United States,Philadelphia,Pennsylvania,19134,East,OFF-LA-10001074,Third Party,Labels,30.072,3,0.2,10.1493
38,US-2019-115791,16/01/2019,18/01/2019,Second Class,DL-13315,Delfina Latchford,Replacement,United States,Philadelphia,Pennsylvania,19134,East,TEC-PH-10004614,Pre Book,Phones,124.2,3,0.4,-31.05
39,US-2019-123477,18/01/2019,21/01/2019,Second Class,DW-13195,David Wiener,Servicing,United States,Springfield,Oregon,97477,West,OFF-AP-10000692,Third Party,Appliances,64.864,4,0.2,6.4864
40,US-2019-146591,19/01/2019,20/01/2019,First Class,TS-21340,Toby Swindell,Replacement,United States,Scottsdale,Arizona,85254,West,FUR-BO-10001972,Direct Sale,Bookcases,181.47,5,0.7,-320.597
41,US-2019-146591,19/01/2019,20/01/2019,First Class,TS-21340,Toby Swindell,Replacement,United States,Scottsdale,Arizona,85254,West,OFF-BI-10003676,Third Party,Binders,32.34,10,0.7,-23.716
42,US-2019-146591,19/01/2019,20/01/2019,First Class,TS-21340,Toby Swindell,Replacement,United States,Scottsdale,Arizona,85254,West,OFF-EN-10002504,Third Party,Envelopes,108.72,5,0.2,36.693
43,US-2019-146591,19/01/2019,20/01/2019,First Class,TS-21340,Toby Swindell,Replacement,United States,Scottsdale,Arizona,85254,West,OFF-PA-10000659,Third Party,Paper,56.064,4,0.2,19.6224
44,US-2019-147627,20/01/2019,26/01/2019,Standard Class,HL-15040,Hunter Lopez,Replacement,United States,Jonesboro,Arkansas,72401,South,FUR-CH-10002331,Other,Chairs,1067.94,3,0,224.2674
45,US-2019-167927,20/01/2019,26/01/2019,Standard Class,XP-21865,Xylona Preis,Replacement,United States,Westland,Michigan,48185,Central,FUR-FU-10002268,Other,Furnishings,14.73,3,0,4.8609
46,US-2019-167927,20/01/2019,26/01/2019,Standard Class,XP-21865,Xylona Preis,Replacement,United States,Westland,Michigan,48185,Central,FUR-FU-10002918,Other,Furnishings,272.94,3,0,30.0234
47,US-2019-147627,20/01/2019,26/01/2019,Standard Class,HL-15040,Hunter Lopez,Replacement,United States,Jonesboro,Arkansas,72401,South,FUR-FU-10003194,Other,Furnishings,38.6,4,0,11.58
48,US-2019-148614,20/01/2019,25/01/2019,Standard Class,MV-17485,Mark Van Huff,Replacement,United States,Los Angeles,California,90049,West,FUR-FU-10003194,Other,Furnishings,19.3,2,0,5.79
49,US-2019-167927,20/01/2019,26/01/2019,Standard Class,XP-21865,Xylona Preis,Replacement,United States,Westland,Michigan,48185,Central,OFF-AP-10002311,Third Party,Appliances,247.716,4,0.1,93.5816
50,US-2019-147627,20/01/2019,26/01/2019,Standard Class,HL-15040,Hunter Lopez,Replacement,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10002375,Third Party,Art,22.96,7,0,6.6584
51,US-2019-147627,20/01/2019,26/01/2019,Standard Class,HL-15040,Hunter Lopez,Replacement,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10003811,Third Party,Art,6.63,3,0,1.7901
52,US-2019-167927,20/01/2019,26/01/2019,Standard Class,XP-21865,Xylona Preis,Replacement,United States,Westland,Michigan,48185,Central,OFF-AR-10004456,Third Party,Art,43.92,3,0,12.7368
53,US-2019-167927,20/01/2019,26/01/2019,Standard Class,XP-21865,Xylona Preis,Replacement,United States,Westland,Michigan,48185,Central,OFF-BI-10000605,Third Party,Binders,19.05,5,0,8.9535
54,US-2019-147774,20/01/2019,26/01/2019,Standard Class,MM-18280,Muhammed MacIntyre,Servicing,United States,Smyrna,Tennessee,37167,South,OFF-BI-10003091,Third Party,Binders,67.194,1,0.7,-51.5154
55,US-2019-167927,20/01/2019,26/01/2019,Standard Class,XP-21865,Xylona Preis,Replacement,United States,Westland,Michigan,48185,Central,OFF-BI-10004364,Third Party,Binders,29.7,5,0,13.365
56,US-2019-147627,20/01/2019,26/01/2019,Standard Class,HL-15040,Hunter Lopez,Replacement,United States,Jonesboro,Arkansas,72401,South,OFF-EN-10001539,Third Party,Envelopes,23.34,3,0,10.9698
57,US-2019-148614,20/01/2019,25/01/2019,Standard Class,MV-17485,Mark Van Huff,Replacement,United States,Los Angeles,California,90049,West,OFF-PA-10002893,Third Party,Paper,19.36,2,0,9.2928
58,US-2019-167927,20/01/2019,26/01/2019,Standard Class,XP-21865,Xylona Preis,Replacement,United States,Westland,Michigan,48185,Central,OFF-ST-10000760,Third Party,Storage,13.98,1,0,4.0542
59,US-2019-167927,20/01/2019,26/01/2019,Standard Class,XP-21865,Xylona Preis,Replacement,United States,Westland,Michigan,48185,Central,OFF-ST-10003123,Third Party,Storage,66.58,2,0,15.9792
60,US-2019-147627,20/01/2019,26/01/2019,Standard Class,HL-15040,Hunter Lopez,Replacement,United States,Jonesboro,Arkansas,72401,South,TEC-PH-10001061,Pre Book,Phones,699.93,7,0,181.9818
61,US-2019-110422,21/01/2019,23/01/2019,Second Class,TB-21400,Tom Boeckenhauer,Replacement,United States,Miami,Florida,33180,South,FUR-FU-10001889,Direct Sale,Furnishings,25.248,3,0.2,4.1028
62,CA-2019-115238,21/01/2019,24/01/2019,Standard Class,JW-15220,Jane Waco,Servicing,Canada,Toronto,Ontario,M7A,East,FUR-FU-10001025,Direct Sale,Furnishings,24.3,5,0,10.45
63,CA-2019-115238,21/01/2019,24/01/2019,Standard Class,JW-15220,Jane Waco,Servicing,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002445,Direct Sale,Furnishings,9.48,1,0,3.79
64,CA-2019-115238,21/01/2019,24/01/2019,Standard Class,JW-15220,Jane Waco,Servicing,Canada,Toronto,Ontario,M7A,East,FUR-FU-10002960,Direct Sale,Furnishings,31.4,5,0,13.19
65,CA-2019-115238,21/01/2019,24/01/2019,Standard Class,JW-15220,Jane Waco,Servicing,Canada,Toronto,Ontario,M7A,East,OFF-PA-10002689,Third Party,Paper,6.48,1,0,3.11
66,CA-2019-115238,21/01/2019,24/01/2019,Standard Class,JW-15220,Jane Waco,Servicing,Canada,Toronto,Ontario,M7A,East,TEC-PH-10001300,Pre Book,Phones,209.5,10,0,58.66
67,US-2019-146997,23/01/2019,27/01/2019,Standard Class,SG-20605,Speros Goranitis,Replacement,United States,Lafayette,Indiana,47905,Central,OFF-FA-10003467,Third Party,Fasteners,5.94,3,0,0
68,US-2019-102645,23/01/2019,28/01/2019,Standard Class,IM-15055,Ionia McGrath,Replacement,United States,Las Vegas,Nevada,89115,West,OFF-PA-10001804,Third Party,Paper,40.08,6,0,19.2384
69,US-2019-167997,26/01/2019,29/01/2019,First Class,CA-11965,Carol Adams,Servicing,United States,Rapid City,South Dakota,57701,Central,FUR-BO-10004409,Direct Sale,Bookcases,141.96,2,0,39.7488
70,US-2019-155502,26/01/2019,31/01/2019,Standard Class,SD-20485,Shirley Daniels,Other,United States,Alexandria,Virginia,22304,South,FUR-FU-10001847,Direct Sale,Furnishings,12.42,3,0,4.4712
71,US-2019-155502,26/01/2019,31/01/2019,Standard Class,SD-20485,Shirley Daniels,Other,United States,Alexandria,Virginia,22304,South,FUR-FU-10004587,Direct Sale,Furnishings,62.82,3,0,30.7818
72,US-2019-167997,26/01/2019,29/01/2019,First Class,CA-11965,Carol Adams,Servicing,United States,Rapid City,South Dakota,57701,Central,OFF-BI-10001758,Third Party,Binders,10.68,2,0,5.0196
73,US-2019-155502,26/01/2019,31/01/2019,Standard Class,SD-20485,Shirley Daniels,Other,United States,Alexandria,Virginia,22304,South,OFF-PA-10000380,Third Party,Paper,16.68,2,0,8.34
74,US-2019-155502,26/01/2019,31/01/2019,Standard Class,SD-20485,Shirley Daniels,Other,United States,Alexandria,Virginia,22304,South,OFF-PA-10003072,Third Party,Paper,19.44,3,0,9.3312
75,US-2019-155502,26/01/2019,31/01/2019,Standard Class,SD-20485,Shirley Daniels,Other,United States,Alexandria,Virginia,22304,South,OFF-ST-10004337,Third Party,Storage,489.92,8,0,0
76,US-2019-155502,26/01/2019,31/01/2019,Standard Class,SD-20485,Shirley Daniels,Other,United States,Alexandria,Virginia,22304,South,TEC-PH-10002103,Pre Book,Phones,187.98,2,0,52.6344
77,US-2019-155502,26/01/2019,31/01/2019,Standard Class,SD-20485,Shirley Daniels,Other,United States,Alexandria,Virginia,22304,South,TEC-PH-10004833,Pre Book,Phones,155.35,13,0,0
78,US-2019-117163,27/01/2019,02/02/2019,Standard Class,EJ-13720,Ed Jacobs,Replacement,United States,San Diego,California,92037,West,FUR-TA-10003469,Direct Sale,Tables,333,3,0.2,-16.65
79,US-2019-117163,27/01/2019,02/02/2019,Standard Class,EJ-13720,Ed Jacobs,Replacement,United States,San Diego,California,92037,West,OFF-AR-10003179,Third Party,Art,36.44,4,0,12.0252
80,US-2019-117163,27/01/2019,02/02/2019,Standard Class,EJ-13720,Ed Jacobs,Replacement,United States,San Diego,California,92037,West,OFF-ST-10003692,Third Party,Storage,57.23,1,0,14.3075
81,US-2019-100328,28/01/2019,03/02/2019,Standard Class,JC-15340,Jasper Cacioppo,Replacement,United States,New York City,New York,10024,East,OFF-BI-10000343,Third Party,Binders,3.928,1,0.2,1.3257
82,US-2019-134103,30/01/2019,04/02/2019,Standard Class,MV-18190,Mike Vittorini,Replacement,United States,Detroit,Michigan,48234,Central,OFF-PA-10001204,Third Party,Paper,10.56,2,0,4.752
83,US-2019-134103,30/01/2019,04/02/2019,Standard Class,MV-18190,Mike Vittorini,Replacement,United States,Detroit,Michigan,48234,Central,OFF-ST-10000991,Third Party,Storage,229.94,2,0,6.8982
84,US-2019-115161,31/01/2019,02/02/2019,First Class,LC-17050,Liz Carlisle,Replacement,United States,Mission Viejo,California,92691,West,FUR-BO-10003966,Direct Sale,Bookcases,290.666,2,0.15,3.4196
85,US-2019-140795,01/02/2019,03/02/2019,First Class,BD-11500,Bradley Drucker,Replacement,United States,Green Bay,Wisconsin,54302,Central,TEC-AC-10001432,Pre Book,Accessories,468.9,6,0,206.316
86,US-2019-123400,02/02/2019,09/02/2019,Standard Class,EB-13930,Eric Barreto,Replacement,United States,Saint Petersburg,Florida,33710,South,OFF-BI-10000666,Third Party,Binders,18.336,2,0.7,-12.224
87,US-2019-139857,02/02/2019,06/02/2019,Standard Class,CD-12790,Cynthia Delaney,Other,United States,San Diego,California,92037,West,OFF-FA-10001843,Third Party,Fasteners,12.35,5,0,5.8045
88,US-2019-123400,02/02/2019,09/02/2019,Standard Class,EB-13930,Eric Barreto,Replacement,United States,Saint Petersburg,Florida,33710,South,TEC-PH-10002890,Pre Book,Phones,180.96,5,0.2,13.572
89,US-2019-111059,03/02/2019,06/02/2019,Second Class,TB-21400,Tom Boeckenhauer,Replacement,United States,Seattle,Washington,98105,West,OFF-BI-10002827,Third Party,Binders,13.272,3,0.2,4.3134
90,US-2019-111059,03/02/2019,06/02/2019,Second Class,TB-21400,Tom Boeckenhauer,Replacement,United States,Seattle,Washington,98105,West,OFF-BI-10004593,Other,Binders,83.84,2,0.2,27.248
91,US-2019-104808,04/02/2019,08/02/2019,Second Class,MH-17440,Mark Haberlin,Servicing,United States,Escondido,California,92025,West,OFF-BI-10003676,Other,Binders,17.248,2,0.2,6.0368
92,US-2019-107181,04/02/2019,08/02/2019,Standard Class,DB-13270,Deborah Brumfield,Other,United States,San Diego,California,92024,West,OFF-BI-10004230,Other,Binders,82.896,3,0.2,29.0136
93,US-2019-107181,04/02/2019,08/02/2019,Standard Class,DB-13270,Deborah Brumfield,Other,United States,San Diego,California,92024,West,OFF-PA-10000350,Other,Paper,34.24,4,0,16.0928
94,US-2019-108182,06/02/2019,10/02/2019,Second Class,DL-13315,Delfina Latchford,Replacement,United States,Romeoville,Illinois,60441,Central,OFF-BI-10001196,Other,Binders,8.952,2,0.8,-14.7708
95,US-2019-131905,06/02/2019,09/02/2019,First Class,ND-18460,Neil Ducich,Servicing,United States,Chesapeake,Virginia,23320,South,OFF-LA-10002787,Third Party,Labels,15,4,0,7.2
96,US-2019-131905,06/02/2019,09/02/2019,First Class,ND-18460,Neil Ducich,Servicing,United States,Chesapeake,Virginia,23320,South,TEC-PH-10001615,Pre Book,Phones,144.95,5,0,42.0355
97,US-2019-131905,06/02/2019,09/02/2019,First Class,ND-18460,Neil Ducich,Servicing,United States,Chesapeake,Virginia,23320,South,TEC-PH-10003645,Pre Book,Phones,161.61,1,0,42.0186
98,US-2019-169390,07/02/2019,10/02/2019,Second Class,CS-12250,Chris Selesnick,Servicing,United States,New York City,New York,10024,East,OFF-ST-10001558,Third Party,Storage,64.96,4,0,9.744
99,US-2019-107755,07/02/2019,12/02/2019,Standard Class,CK-12760,Cyma Kinney,Servicing,United States,Linden,New Jersey,07036,East,TEC-AC-10000710,Pre Book,Accessories,115.36,7,0,49.6048
100,US-2019-125759,08/02/2019,09/02/2019,First Class,NM-18445,Nathan Mautz,Other,United States,North Las Vegas,Nevada,89031,West,FUR-FU-10002111,Other,Furnishings,14.56,2,0,5.5328
101,US-2019-168368,11/02/2019,15/02/2019,Second Class,GA-14725,Guy Armstrong,Replacement,United States,Columbia,Missouri,65203,Central,FUR-CH-10001146,Other,Chairs,60.89,1,0,15.2225
102,US-2019-168368,11/02/2019,15/02/2019,Second Class,GA-14725,Guy Armstrong,Replacement,United States,Columbia,Missouri,65203,Central,FUR-FU-10002298,Other,Furnishings,332.94,3,0,53.2704
103,US-2019-127614,11/02/2019,15/02/2019,Standard Class,NF-18385,Natalie Fritzler,Replacement,United States,Chesapeake,Virginia,23320,South,FUR-TA-10003715,Other,Tables,1256.22,6,0,75.3732
104,US-2019-127614,11/02/2019,15/02/2019,Standard Class,NF-18385,Natalie Fritzler,Replacement,United States,Chesapeake,Virginia,23320,South,OFF-BI-10003291,Other,Binders,17.46,2,0,8.2062
105,US-2019-168368,11/02/2019,15/02/2019,Second Class,GA-14725,Guy Armstrong,Replacement,United States,Columbia,Missouri,65203,Central,OFF-BI-10004654,Third Party,Binders,51.9,3,0,24.393
106,US-2019-168368,11/02/2019,15/02/2019,Second Class,GA-14725,Guy Armstrong,Replacement,United States,Columbia,Missouri,65203,Central,OFF-BI-10004728,Third Party,Binders,9.64,2,0,4.4344
107,US-2019-168368,11/02/2019,15/02/2019,Second Class,GA-14725,Guy Armstrong,Replacement,United States,Columbia,Missouri,65203,Central,OFF-LA-10004853,Third Party,Labels,14.94,3,0,6.8724
108,US-2019-168368,11/02/2019,15/02/2019,Second Class,GA-14725,Guy Armstrong,Replacement,United States,Columbia,Missouri,65203,Central,OFF-ST-10002583,Third Party,Storage,64.96,2,0,2.5984
109,US-2019-127614,11/02/2019,15/02/2019,Standard Class,NF-18385,Natalie Fritzler,Replacement,United States,Chesapeake,Virginia,23320,South,TEC-AC-10001432,Pre Book,Accessories,234.45,3,0,103.158
110,US-2019-110674,12/02/2019,18/02/2019,Standard Class,SC-20095,Sanjit Chand,Replacement,United States,Concord,California,94521,West,FUR-CH-10000225,Direct Sale,Chairs,129.568,2,0.2,-24.294
111,US-2019-121762,14/02/2019,18/02/2019,Standard Class,ML-17395,Marina Lichtenstein,Servicing,United States,Seattle,Washington,98103,West,OFF-AP-10001293,Third Party,Appliances,81.96,2,0,22.9488
112,US-2019-107706,14/02/2019,19/02/2019,Second Class,ST-20530,Shui Tom,Replacement,United States,Houston,Texas,77095,Central,OFF-PA-10000466,Third Party,Paper,16.176,3,0.2,6.066
113,US-2019-121762,14/02/2019,18/02/2019,Standard Class,ML-17395,Marina Lichtenstein,Servicing,United States,Seattle,Washington,98103,West,OFF-SU-10000157,Third Party,Supplies,238.62,2,0,4.7724
114,US-2019-121762,14/02/2019,18/02/2019,Standard Class,ML-17395,Marina Lichtenstein,Servicing,United States,Seattle,Washington,98103,West,TEC-AC-10000736,Pre Book,Accessories,239.97,3,0,86.3892
115,US-2019-165568,15/02/2019,19/02/2019,Standard Class,BF-11020,Barry Französisch,Servicing,United States,Seattle,Washington,98105,West,OFF-BI-10001031,Third Party,Binders,21.36,5,0.2,7.209
116,US-2019-122567,16/02/2019,21/02/2019,Standard Class,MN-17935,Michael Nguyen,Replacement,United States,Dallas,Texas,75220,Central,OFF-AP-10001303,Third Party,Appliances,7.96,2,0.8,-13.93
117,US-2019-122567,16/02/2019,21/02/2019,Standard Class,MN-17935,Michael Nguyen,Replacement,United States,Dallas,Texas,75220,Central,OFF-BI-10002012,Third Party,Binders,1.08,3,0.8,-1.728
118,US-2019-154165,17/02/2019,24/02/2019,Standard Class,DL-13315,Delfina Latchford,Replacement,United States,Chicago,Illinois,60653,Central,OFF-AR-10003631,Third Party,Art,54.208,14,0.2,8.8088
119,US-2019-165589,18/02/2019,18/02/2019,Same Day,TB-21595,Troy Blackwell,Replacement,United States,Lubbock,Texas,79424,Central,FUR-FU-10002396,Direct Sale,Furnishings,25.16,5,0.6,-11.322
120,US-2019-152905,18/02/2019,24/02/2019,Standard Class,AB-10015,Aaron Bergman,Replacement,United States,Arlington,Texas,76017,Central,OFF-ST-10000321,Third Party,Storage,12.624,2,0.2,-2.5248
121,US-2019-109491,20/02/2019,26/02/2019,Standard Class,LC-16930,Linda Cazamias,Servicing,United States,Richmond,Indiana,47374,Central,FUR-FU-10000221,Direct Sale,Furnishings,20.32,4,0,6.9088
122,US-2019-164903,20/02/2019,24/02/2019,Standard Class,SR-20740,Steven Roelle,Other,United States,Los Angeles,California,90049,West,OFF-PA-10003363,Third Party,Paper,12.96,2,0,6.2208
123,US-2019-109491,20/02/2019,26/02/2019,Standard Class,LC-16930,Linda Cazamias,Servicing,United States,Richmond,Indiana,47374,Central,TEC-AC-10001284,Pre Book,Accessories,62.31,3,0,22.4316
124,US-2019-165540,21/02/2019,25/02/2019,Standard Class,TM-21010,Tamara Manning,Replacement,United States,Woodstock,Illinois,60098,Central,OFF-BI-10004094,Third Party,Binders,8.85,5,0.8,-13.7175
125,US-2019-133354,22/02/2019,24/02/2019,First Class,SA-20830,Sue Ann Reed,Replacement,United States,Moreno Valley,California,92553,West,OFF-PA-10001800,Other,Paper,19.44,3,0,9.3312
126,US-2019-103744,23/02/2019,27/02/2019,Standard Class,MG-17875,Michael Grace,Other,United States,El Paso,Texas,79907,Central,OFF-BI-10000320,Other,Binders,4.428,3,0.8,-6.8634
127,US-2019-103744,23/02/2019,27/02/2019,Standard Class,MG-17875,Michael Grace,Other,United States,El Paso,Texas,79907,Central,OFF-LA-10004425,Other,Labels,6.936,3,0.2,2.3409
128,US-2019-137680,24/02/2019,02/03/2019,Standard Class,JH-15430,Jennifer Halladay,Replacement,United States,Medford,Oregon,97504,West,OFF-PA-10000069,Other,Paper,22.776,3,0.2,7.6869
129,US-2019-137680,24/02/2019,02/03/2019,Standard Class,JH-15430,Jennifer Halladay,Replacement,United States,Medford,Oregon,97504,West,OFF-PA-10000174,Other,Paper,32.896,4,0.2,11.1024
130,US-2019-156545,27/02/2019,03/03/2019,First Class,JS-16030,Joy Smith,Replacement,United States,Columbus,Ohio,43229,East,OFF-AR-10003560,Third Party,Art,19.456,4,0.2,3.4048
131,US-2019-113880,01/03/2019,05/03/2019,Standard Class,VF-21715,Vicky Freymann,Other,United States,Elmhurst,Illinois,60126,Central,FUR-CH-10000863,Other,Chairs,634.116,6,0.3,-172.1172
132,US-2019-131009,01/03/2019,05/03/2019,Standard Class,SC-20380,Shahid Collister,Replacement,United States,El Paso,Texas,79907,Central,FUR-CH-10001270,Other,Chairs,362.25,6,0.3,0
133,US-2019-104269,01/03/2019,06/03/2019,Second Class,DB-13060,Dave Brooks,Replacement,United States,Seattle,Washington,98115,West,FUR-CH-10004063,Other,Chairs,457.568,2,0.2,51.4764
134,US-2019-131009,01/03/2019,05/03/2019,Standard Class,SC-20380,Shahid Collister,Replacement,United States,El Paso,Texas,79907,Central,FUR-FU-10001095,Other,Furnishings,63.552,6,0.6,-34.9536
135,US-2019-168312,01/03/2019,07/03/2019,Standard Class,GW-14605,Giulietta Weimer,Replacement,United States,Houston,Texas,77036,Central,FUR-TA-10001866,Other,Tables,376.509,3,0.3,-43.0296
